,user_id,qId,correctAvg,vocab
0,1,1,0.25,asset
1,1,1,0.25,marble
2,1,1,0.25,faun
3,1,1,0.25,publishing
4,1,1,0.25,company
5,1,1,0.25,suffer
6,1,1,0.25,last
7,1,1,0.25,quarter
8,1,1,0.25,main
9,1,1,0.25,local
10,1,1,0.25,distributor
11,1,1,0.25,go
12,1,1,0.25,business
13,4,1,1.0,asset
14,4,1,1.0,marble
15,4,1,1.0,faun
16,4,1,1.0,publishing
17,4,1,1.0,company
18,4,1,1.0,suffer
19,4,1,1.0,last
20,4,1,1.0,quarter
21,4,1,1.0,main
22,4,1,1.0,local
23,4,1,1.0,distributor
24,4,1,1.0,go
25,4,1,1.0,business
26,6,1,0.5,asset
27,6,1,0.5,marble
28,6,1,0.5,faun
29,6,1,0.5,publishing
30,6,1,0.5,company
31,6,1,0.5,suffer
32,6,1,0.5,last
33,6,1,0.5,quarter
34,6,1,0.5,main
35,6,1,0.5,local
36,6,1,0.5,distributor
37,6,1,0.5,go
38,6,1,0.5,business
39,8,1,0.75,asset
40,8,1,0.75,marble
41,8,1,0.75,faun
42,8,1,0.75,publishing
43,8,1,0.75,company
44,8,1,0.75,suffer
45,8,1,0.75,last
46,8,1,0.75,quarter
47,8,1,0.75,main
48,8,1,0.75,local
49,8,1,0.75,distributor
50,8,1,0.75,go
51,8,1,0.75,business
52,13,1,0.75,asset
53,13,1,0.75,marble
54,13,1,0.75,faun
55,13,1,0.75,publishing
56,13,1,0.75,company
57,13,1,0.75,suffer
58,13,1,0.75,last
59,13,1,0.75,quarter
60,13,1,0.75,main
61,13,1,0.75,local
62,13,1,0.75,distributor
63,13,1,0.75,go
64,13,1,0.75,business
65,14,1,0.6666666666666666,asset
66,14,1,0.6666666666666666,marble
67,14,1,0.6666666666666666,faun
68,14,1,0.6666666666666666,publishing
69,14,1,0.6666666666666666,company
70,14,1,0.6666666666666666,suffer
71,14,1,0.6666666666666666,last
72,14,1,0.6666666666666666,quarter
73,14,1,0.6666666666666666,main
74,14,1,0.6666666666666666,local
75,14,1,0.6666666666666666,distributor
76,14,1,0.6666666666666666,go
77,14,1,0.6666666666666666,business
78,16,1,1.0,asset
79,16,1,1.0,marble
80,16,1,1.0,faun
81,16,1,1.0,publishing
82,16,1,1.0,company
83,16,1,1.0,suffer
84,16,1,1.0,last
85,16,1,1.0,quarter
86,16,1,1.0,main
87,16,1,1.0,local
88,16,1,1.0,distributor
89,16,1,1.0,go
90,16,1,1.0,business
91,1,2,0.3333333333333333,lndie
92,1,2,0.3333333333333333,film
93,1,2,0.3333333333333333,director
94,1,2,0.3333333333333333,luke
95,1,2,0.3333333333333333,steele
96,1,2,0.3333333333333333,london
97,1,2,0.3333333333333333,premiere
98,1,2,0.3333333333333333,movie
99,4,2,0.9861111111111112,lndie
100,4,2,0.9861111111111112,film
101,4,2,0.9861111111111112,director
102,4,2,0.9861111111111112,luke
103,4,2,0.9861111111111112,steele
104,4,2,0.9861111111111112,london
105,4,2,0.9861111111111112,premiere
106,4,2,0.9861111111111112,movie
107,6,2,1.0,lndie
108,6,2,1.0,film
109,6,2,1.0,director
110,6,2,1.0,luke
111,6,2,1.0,steele
112,6,2,1.0,london
113,6,2,1.0,premiere
114,6,2,1.0,movie
115,8,2,0.75,lndie
116,8,2,0.75,film
117,8,2,0.75,director
118,8,2,0.75,luke
119,8,2,0.75,steele
120,8,2,0.75,london
121,8,2,0.75,premiere
122,8,2,0.75,movie
123,10,2,0.5,lndie
124,10,2,0.5,film
125,10,2,0.5,director
126,10,2,0.5,luke
127,10,2,0.5,steele
128,10,2,0.5,london
129,10,2,0.5,premiere
130,10,2,0.5,movie
131,11,2,0.0,lndie
132,11,2,0.0,film
133,11,2,0.0,director
134,11,2,0.0,luke
135,11,2,0.0,steele
136,11,2,0.0,london
137,11,2,0.0,premiere
138,11,2,0.0,movie
139,13,2,0.8,lndie
140,13,2,0.8,film
141,13,2,0.8,director
142,13,2,0.8,luke
143,13,2,0.8,steele
144,13,2,0.8,london
145,13,2,0.8,premiere
146,13,2,0.8,movie
147,14,2,0.8,lndie
148,14,2,0.8,film
149,14,2,0.8,director
150,14,2,0.8,luke
151,14,2,0.8,steele
152,14,2,0.8,london
153,14,2,0.8,premiere
154,14,2,0.8,movie
155,16,2,1.0,lndie
156,16,2,1.0,film
157,16,2,1.0,director
158,16,2,1.0,luke
159,16,2,1.0,steele
160,16,2,1.0,london
161,16,2,1.0,premiere
162,16,2,1.0,movie
163,1,3,0.0,laboratory
164,1,3,0.0,employee
165,1,3,0.0,expect
166,1,3,0.0,wear
167,1,3,0.0,name
168,1,3,0.0,tag
169,1,3,0.0,carry
170,1,3,0.0,identification
171,1,3,0.0,time
172,4,3,0.9736842105263158,laboratory
173,4,3,0.9736842105263158,employee
174,4,3,0.9736842105263158,expect
175,4,3,0.9736842105263158,wear
176,4,3,0.9736842105263158,name
177,4,3,0.9736842105263158,tag
178,4,3,0.9736842105263158,carry
179,4,3,0.9736842105263158,identification
180,4,3,0.9736842105263158,time
181,6,3,0.0,laboratory
182,6,3,0.0,employee
