,user_id,qId,timestamp,user_answer,answered_correctly,prior_question_elapsed_time
0,1,77,3482172842,3,1.0,13000.0
1,1,96,2077602636,3,1.0,48000.0
2,1,48,2315985867,0,1.0,11000.0
3,1,48,5300458502,0,1.0,15000.0
4,1,48,5135450097,0,1.0,9000.0
5,1,96,1588225807,3,1.0,4000.0
6,1,96,2106156450,3,1.0,5000.0
7,1,59,4824623736,2,1.0,15000.0
8,1,96,24052716445,2,0.0,14000.0
9,1,96,2105425549,3,1.0,4000.0
10,1,96,594867810,3,1.0,24000.0
11,1,59,5013170238,2,1.0,7000.0
12,1,97,2106204251,3,1.0,2000.0
13,1,59,19795119940,2,1.0,15000.0
14,1,97,23689282607,3,1.0,117000.0
15,1,97,16879710931,2,0.0,7000.0
16,1,97,2105269675,3,1.0,15000.0
17,1,97,2078323065,3,1.0,4000.0
18,1,97,1588895751,3,1.0,27000.0
19,1,49,3146690278,1,1.0,4000.0
20,1,124,18333432443,0,1.0,16000.0
21,1,96,16879665778,3,1.0,7000.0
22,1,17,23356665861,1,1.0,17000.0
23,1,127,329671443,2,1.0,48000.0
24,1,95,3310876129,3,1.0,12000.0
25,1,127,16021847259,2,1.0,13000.0
26,1,127,21435342243,2,1.0,11000.0
27,1,126,643394499,0,1.0,45000.0
28,1,126,638802207,0,1.0,3000.0
29,1,126,16269541121,0,1.0,8000.0
30,1,9,18179513070,3,1.0,14000.0
31,1,48,5706891674,0,1.0,4000.0
32,1,126,22193078889,0,1.0,15000.0
33,1,59,21326811009,2,1.0,24000.0
34,1,126,597198289,2,0.0,9000.0
35,1,48,6030551358,0,1.0,27000.0
36,1,126,594560641,2,0.0,87000.0
37,1,17,18955813720,1,1.0,16000.0
38,1,48,15671683985,0,1.0,8000.0
39,1,95,15672865008,0,0.0,27000.0
40,1,59,1072843888,2,1.0,26000.0
41,1,126,638420071,0,1.0,3000.0
42,1,127,207620387,2,1.0,12000.0
43,1,124,23688932661,0,1.0,17666.0
44,1,49,19188442817,1,1.0,34000.0
45,1,49,17382542104,0,0.0,9000.0
46,1,98,18012035678,0,1.0,45000.0
47,1,98,3450179918,0,1.0,48000.0
48,1,50,17996385968,1,1.0,13000.0
49,1,98,15673060391,1,0.0,54000.0
50,1,10,22675412539,1,0.0,16000.0
51,1,16,790133022,1,1.0,17000.0
52,1,121,3971385237,0,1.0,5000.0
53,1,121,15673285151,0,1.0,22000.0
54,1,10,8068815749,0,1.0,19000.0
55,1,50,1406932742,1,1.0,13000.0
56,1,50,1392321455,2,0.0,9000.0
57,1,58,20386210885,1,0.0,10000.0
58,1,121,21278295798,0,1.0,17000.0
59,1,16,22446406130,1,1.0,18000.0
60,1,120,299707912,0,1.0,50000.0
61,1,120,20422706803,0,1.0,9000.0
62,1,58,20203943335,1,0.0,16000.0
63,1,121,3923000236,0,1.0,17000.0
64,1,124,5012793458,0,1.0,7000.0
65,1,10,23236828281,0,1.0,15000.0
66,1,27,17227607052,3,1.0,18000.0
67,1,49,3280069992,1,1.0,25000.0
68,1,124,4240137112,0,1.0,9000.0
69,1,124,4825081595,3,0.0,10000.0
70,1,124,4498799993,0,1.0,9000.0
71,1,124,4309021454,0,1.0,13000.0
72,1,124,597503958,0,1.0,9000.0
73,1,97,18954903002,3,1.0,34000.0
74,1,97,596788844,3,1.0,46000.0
75,1,123,18385655841,1,1.0,7000.0
76,1,123,5379837973,2,0.0,14000.0
77,1,123,6030612808,1,1.0,6000.0
78,1,123,5706784292,1,1.0,13000.0
79,1,16,4245304542,0,0.0,21000.0
80,1,123,6116478233,1,1.0,3000.0
81,1,123,5444580959,1,1.0,7000.0
82,1,123,23799475078,1,1.0,11000.0
83,1,98,2451678136,0,1.0,27000.0
84,1,98,2666719513,2,0.0,6000.0
85,1,97,24456230501,3,1.0,16000.0
86,1,128,212296271,1,1.0,23000.0
87,1,28,22885860582,3,1.0,16000.0
88,1,128,1640615963,0,0.0,14000.0
89,1,92,6250139331,1,1.0,4000.0
90,1,60,17831760824,3,1.0,14000.0
91,1,92,19213651013,1,1.0,5000.0
92,1,60,2316601892,2,0.0,10000.0
93,1,93,4243876135,1,1.0,33000.0
94,1,60,24647654580,2,0.0,49000.0
95,1,93,4307778739,1,1.0,29000.0
96,1,60,3450747954,3,1.0,31000.0
97,1,133,1072618158,3,1.0,14000.0
98,1,93,18253692849,1,1.0,8000.0
99,1,93,3803177394,1,1.0,11000.0
100,1,28,19717242682,3,1.0,17000.0
101,1,93,797057078,1,1.0,15000.0
102,1,93,3704652325,1,1.0,11000.0
103,1,93,24211058192,1,1.0,28000.0
104,1,17,3922176780,1,1.0,16000.0
105,1,106,638795899,3,1.0,7000.0
106,1,131,2451379740,3,1.0,43000.0
